frame,time,protocol,src_ip,dst_ip,src_mac,dst_mac,info,eth_dst,eth_src,eth_type,eth_stream,ip_version,ip_hdr_len,ip_dsfield,ip_len,ip_id,ip_flags,ip_frag_offset,ip_ttl,ip_proto,ip_checksum,ip_checksum_status,ip_src,ip_src_host,ip_dst,ip_dst_host,ip_stream,dhcp_type,dhcp_hw_type,dhcp_hw_len,dhcp_hops,dhcp_id,dhcp_secs,dhcp_flags,dhcp_ip_client,dhcp_ip_your,dhcp_ip_server,dhcp_ip_relay,dhcp_hw_mac_addr,dhcp_hw_addr_padding,dhcp_server,dhcp_file,dhcp_cookie,dhcp_option_padding,udp_srcport,udp_dstport,udp_length,udp_checksum,udp_checksum_status,udp_stream,udp_stream_pnum,udp_payload
1,2004-12-05T19:16:24.317453000Z,DHCP,0.0.0.0,255.255.255.255,00:0b:82:01:fc:42,ff:ff:ff:ff:ff:ff,"DHCP type: ['53', '61', '50', '55', '0']",ff:ff:ff:ff:ff:ff,00:0b:82:01:fc:42,0x0800,0,4,20,0x00,300,0xa836,0x00,0,250,17,0x178b,2,0.0.0.0,0.0.0.0,255.255.255.255,255.255.255.255,0,1,0x01,6,0,0x00003d1d,0,0x0000,0.0.0.0,0.0.0.0,0.0.0.0,0.0.0.0,00:0b:82:01:fc:42,00:00:00:00:00:00:00:00:00:00,,,99.130.83.99,00:00:00:00:00:00:00,68,67,280,0x591f,2,0,1,01:01:06:00:00:00:3d:1d:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:0b:82:01:fc:42:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:63:82:53:63:35:01:01:3d:07:01:00:0b:82:01:fc:42:32:04:00:00:00:00:37:04:01:03:06:2a:ff:00:00:00:00:00:00:00
2,2004-12-05T19:16:24.317748000Z,DHCP,192.168.0.1,192.168.0.10,00:08:74:ad:f1:9b,00:0b:82:01:fc:42,"DHCP type: ['53', '1', '58', '59', '51', '54', '0']",00:0b:82:01:fc:42,00:08:74:ad:f1:9b,0x0800,1,4,20,0x00,328,0x0445,0x00,0,128,17,0x0000,2,192.168.0.1,192.168.0.1,192.168.0.10,192.168.0.10,1,2,0x01,6,0,0x00003d1d,0,0x0000,0.0.0.0,192.168.0.10,192.168.0.1,0.0.0.0,00:0b:82:01:fc:42,00:00:00:00:00:00:00:00:00:00,,,99.130.83.99,00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,67,68,308,0x2233,2,1,1,02:01:06:00:00:00:3d:1d:00:00:00:00:00:00:00:00:c0:a8:00:0a:c0:a8:00:01:00:00:00:00:00:0b:82:01:fc:42:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:63:82:53:63:35:01:02:01:04:ff:ff:ff:00:3a:04:00:00:07:08:3b:04:00:00:0c:4e:33:04:00:00:0e:10:36:04:c0:a8:00:01:ff:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00
3,2004-12-05T19:16:24.387484000Z,DHCP,0.0.0.0,255.255.255.255,00:0b:82:01:fc:42,ff:ff:ff:ff:ff:ff,"DHCP type: ['53', '61', '50', '54', '55', '0']",ff:ff:ff:ff:ff:ff,00:0b:82:01:fc:42,0x0800,0,4,20,0x00,300,0xa837,0x00,0,250,17,0x178a,2,0.0.0.0,0.0.0.0,255.255.255.255,255.255.255.255,0,1,0x01,6,0,0x00003d1e,0,0x0000,0.0.0.0,0.0.0.0,0.0.0.0,0.0.0.0,00:0b:82:01:fc:42,00:00:00:00:00:00:00:00:00:00,,,99.130.83.99,00,68,67,280,0x9fbd,2,0,2,01:01:06:00:00:00:3d:1e:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:0b:82:01:fc:42:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:63:82:53:63:35:01:03:3d:07:01:00:0b:82:01:fc:42:32:04:c0:a8:00:0a:36:04:c0:a8:00:01:37:04:01:03:06:2a:ff:00
4,2004-12-05T19:16:24.387798000Z,DHCP,192.168.0.1,192.168.0.10,00:08:74:ad:f1:9b,00:0b:82:01:fc:42,"DHCP type: ['53', '58', '59', '51', '54', '1', '0']",00:0b:82:01:fc:42,00:08:74:ad:f1:9b,0x0800,1,4,20,0x00,328,0x0446,0x00,0,128,17,0x0000,2,192.168.0.1,192.168.0.1,192.168.0.10,192.168.0.10,1,2,0x01,6,0,0x00003d1e,0,0x0000,0.0.0.0,192.168.0.10,0.0.0.0,0.0.0.0,00:0b:82:01:fc:42,00:00:00:00:00:00:00:00:00:00,,,99.130.83.99,00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,67,68,308,0xdfdb,2,1,2,02:01:06:00:00:00:3d:1e:00:00:00:00:00:00:00:00:c0:a8:00:0a:00:00:00:00:00:00:00:00:00:0b:82:01:fc:42:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:63:82:53:63:35:01:05:3a:04:00:00:07:08:3b:04:00:00:0c:4e:33:04:00:00:0e:10:36:04:c0:a8:00:01:01:04:ff:ff:ff:00:ff:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00
